Представление,Основной контакт,ЭДО,Основные сведения
МСС ООО,Черемных Алексей Алексеевич,1,"ООО ""МСС""
ИНН 2464157189
КПП 246401001
ОГРН 1212400026838
krasmetall@bk.ru
660078, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Свердловская, дом 45, квартира 78
2950523
660078, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Свердловская, дом 45, квартира 78
660078, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Свердловская, дом 45, квартира 78


Черемных Алексей Алексеевич
Дубинина Светлана Валерьевна"
МСС ООО,Витковский Дмитрий Юрьевич,,"ООО ""МСС""
ИНН 2465331182
КПП 246501001
ОГРН 1202400008293
mcc24@bk.ru
+7 (391) 290-40-77
660118, Красноярский край, г. Красноярск, ш. Северное, дом 7В/2, помещение 6
660118, Красноярский край, г. Красноярск, ш. Северное, дом 7В/2, помещение 6
Витковский Дмитрий Юрьевич
Коваленко Степан"
МСС ООО(ИНН 2446010923)Новый,Ольховский Андрей Александрович,1,"ООО ""МСС""
ИНН 2446010923
КПП 244601001
ОГРН 1222400030478
krasmss@mail.ru
663081, Красноярский край, г.о. Город Дивногорск, с Овсянка, ул Терешковой, дом 6, квартира 4
663081, Красноярский край, г.о. Город Дивногорск, с Овсянка, ул Терешковой, дом 6, квартира 4
Ольховский Андрей Александрович
Прыткина Анна Николаевна"
МСТ ООО,,1,"ООО ""МСТ""
ИНН 2461220749
660059, край Красноярский, Красноярск, улица Академика Вавилова, д. 100, оф. 65
660059, край Красноярский, Красноярск, улица Академика Вавилова, д. 100, оф. 65"
М-СТОР ООО,Рябенко Сергей Михайлович,,"ООО ""М-СТОР""
ИНН 2465333207
КПП 246501001
ОГРН 1202400017050
info@mstore24.ru
8 (800) 250-19-20, +79233732799
660118, Красноярский край, г. Красноярск, пр-д Связистов, дом ЗД 21/2
660118, Красноярский край, г. Красноярск, пр-д Связистов, дом ЗД 21/2
Рябенко Сергей Михайлович
Володько Антон"
МТК ООО ГК,Бессонов Владимир Юрьевич,1,"ООО ГК ""МТК""
ИНН 5406610013
КПП 540701001
ОГРН 1165476108203
zakazpww@yandex.ru
630099, Новосибирская обл, Новосибирск г, Советская ул, дом 23, офис 47
630099, Новосибирская обл, Новосибирск г, Советская ул, дом 23, офис 47


Бессонов Владимир Юрьевич
Клешнина Ольга Васильевна"
МТР-СЕРВИС ООО,Корляков Владимир Николаевич,1,"ООО ""МТР-СЕРВИС""
ИНН 7451443047
КПП 745101001
ОГРН 1197456028945
sidorova@mtr-servis.ru
+7(351)723-00-77 доб. 128
454045, Челябинская обл, г. Челябинск, ул. Базовая 2-Я, дом 37, помещение 2, офис 3
454045, Челябинская обл, г. Челябинск, ул. Базовая 2-Я, дом 37, помещение 2, офис 3
Корляков Владимир Николаевич
Прыткина Анна Николаевна"
МТР-СЕРВИС ООО ПП,Корляков Владимир Николаевич,1,"ООО ПП ""МТР-СЕРВИС""
ИНН 7451353227
КПП 745101001
ОГРН 1137451008397
zakaz06@mtr-servis.ru
454045, Челябинская обл, Челябинск г, Базовая 2-Я ул, дом 37, офис 1
454045, Челябинская обл, Челябинск г, Базовая 2-Я ул, дом 37, офис 1


Корляков Владимир Николаевич
Сезнева Ирина"
МТС ВОСТОК ОАО,Романов Дмитрий Александрович,1,"ОАО ""МТС ВОСТОК""
ИНН 6319010004
КПП 631901001
ОГРН 1036300891043
(846) 207-77-17, 992-62-27, 992-63-52
443022, Самарская обл, Самара г, Рыльская ул, дом 17
443022, Самарская обл, Самара г, Рыльская ул, дом 17
Романов Дмитрий Александрович
Дубинина Светлана Валерьевна"
МТСМТ ООО,Третьяков Денис Валерьевич,1,"ООО ""МТСМТ""
ИНН 7810059213
КПП 783901001
ОГРН 1069847129978
(812) 2448518
190020, Г.Санкт-Петербург, вн.тер. г. Муниципальный Округ Екатерингофский, пр-кт Старо-Петергофский, дом 30, корпус 1, литера А, помещение 29Н
190020, Г.Санкт-Петербург, вн.тер. г. Муниципальный Округ Екатерингофский, пр-кт Старо-Петергофский, дом 30, корпус 1, литера А, помещение 29Н
Третьяков Денис Валерьевич
Дубинина Светлана Валерьевна"
МТТ ОАО,,,"ОАО ""МТТ""
ИНН 7705017253
КПП 770901001
ОГРН 1027739006261
109147, Москва г, Марксистская ул, дом 22, строение 1
109147, Москва г, Марксистская ул, дом 22, строение 1
109147, Москва г, Марксистская ул, дом 22, строение 1"
МУЗЛЕСДРЕВ ООО,Доронина Оксана Васильевна,1,"ООО ""МУЗЛЕСДРЕВ""
ИНН 4406005310
КПП 440601001
ОГРН 1104435000108
157331, Костромская обл, Нейский р-н, Нея г, Заводская 1-Я ул, дом 1
157331, Костромская обл, Нейский р-н, Нея г, Заводская 1-Я ул, дом 1
Доронина Оксана Васильевна
Ерохин Андрей"
Муни Валерий Эльмарович ИП,,1,"ИП Муни Валерий Эльмарович
ИНН 246601164816
ОГРН ИП 304246630300016
Свидетельство 24 004372433
Администратор"
Муниципальное автономное учреждение «Дирекция единого заказчика»,,1,"Муниципальное автономное учреждение «Дирекция единого заказчика» 
ИНН 1413001086
КПП 141301001
ОГРН 1171447012582
ОКПО 19598262
kob.dez@mail.ru
(41163) 21153
678300, РС(Я), Кобяйский улус, п.Сангар, ул.Ленина, д.6
678300, РС(Я), Кобяйский улус, п.Сангар, ул.Ленина, д.6
Вокуев Владимир"
Мунтян Ирина Ивановна,,,"ИНН 0000000000
КПП 000001001
624285, Свердловская область, рп. Малышева, ул. Пионерская, д. 15. кв. 29"
Мунхоев Николай Георгиевич,,1,"ИП Глава крестьянского (фермерского) хозяйства Мунхоев Николай Георгиевич
ИНН 030102230404
ОГРН ИП 315385000029182
Иркутская обл, р-н Качугский, д Малые Голы, Школьная, д. 22
Молчанов Семен Сергеевич"
Мунько Владимир Иванович ИП,,1,"ИП Мунько Владимир Иванович
ИНН 381806443802
ОГРН ИП 308381808000013
Свидетельство 38 003121312"
"МУП ""КОС""",,,"Муниципальное унитарное предприятие муниципального образования город Норильск ""Коммунальные объединенные системы"" (МУП ""КОС"")
ИНН 2457029066
КПП 245701001
zolkinakos@yandex.ru
464782 (3919) наталья
663300, Россия, Красноярский край, город Норильск, район Центральный, улица Нансена, зд. 18-а
663300, Россия, Красноярский край, город Норильск, район Центральный, улица Нансена, зд. 18-а"
МУП ИМ.И.СПИРИДОНОВА,Туприн Роман Дмитриевич,1,"МУП ИМ.И.СПИРИДОНОВА
ИНН 1405000138
КПП 140501001
ОГРН 1021401376655
8-411-682-24-01 
678431, Республика Саха (Якутия), м.р-н Анабарский Национальный (долгано-Эвенкийский), с.п. Юрюнг-Хаинский Национальный Наслег, с Юрюнг-Хая
678431, Республика Саха (Якутия), м.р-н Анабарский Национальный (долгано-Эвенкийский), с.п. Юрюнг-Хаинский Национальный Наслег, с Юрюнг-Хая
Туприн Роман Дмитриевич
Медведев Алексей Георгиевич"
Муравин Алексей Анатольевич,,1,Муравин Алексей Анатольевич
Муравина Юлия Степановна,,1,"Муравина Юлия Степановна
Новгородская обл., Новгородский р-н, д. Русско, ул. Русская д.14
Ерохин Андрей"
Мурашко Анастасия Александровна,,1,Мурашко Анастасия Александровна
Мусаев Замир Назимович ИП,,1,"ИП Мусаев Замир Назимович
ИНН 631820525010
ОГРН ИП 323631200033310
cherdachok73@mail.ru
+79513774642
443045, Самарская область, г.о. Самара, вн.р-н Советский, г Самара, ул Энтузиастов, д. 38, офис 1
443045, Самарская область, г.о. Самара, вн.р-н Советский, г Самара, ул Энтузиастов, Дом 38, офис 1
Калинин Дмитрий Владимирович"
Мустафаев Азер Зербали Оглы ИП,,1,"ИП Мустафаев Азер Зербали Оглы
ИНН 246500147300
ОГРН ИП 304246515900061
515084-az@mail.ru
8(391) 2-515-084
660077, Красноярский край, г.Красноярск, ул. Молокова, д.1, к. 4 кв. 76"
Мутовин Андрей Николаевич ИП,,,"ИП Мутовин Андрей Николаевич
ИНН 246305665890
ОГРН ИП 310246832900129
Свидетельство 24 006014059
8(391)2018273, 89233367008
660041, Красноярский край, г.о. город Красноярск, г Красноярск, ул Сады, Дом 4, кв 75
Калинин Дмитрий Владимирович"
Муханов Альвиан Владимирович (Физ. лицо),,1,"Муханов Альвиан Владимирович
Документ 5020 095834
mav@mavnsk.ru
+7 913 985-43-77
630082, Новосибирская область, г Новосибирск, ул Дуси Ковальчук, д. 252, кв. 27.
630082, Новосибирская область, г Новосибирск, ул Дуси Ковальчук, д. 252, кв. 27.
Тарасенко Дмитрий Евгеньевич"
Мухин Сергей Петрович,,1,"Мухин Сергей Петрович
Документ Паспорт серии 04 05 №080882 выдан 27.10.2006г. УВД г. Норильска Красноярского края
г. Норильск ул. Севастопольская д. 4 кв.23
г. Норильск ул. Севастопольская д. 4 кв.23"
Мухтаров Рустам Иксанович (физ.лицо),,1,"Мухтаров Рустам Иксанович
456895, Челябинская область, м.р-н Аргаяшский, с.п. Акбашевское, д Акбашева, ул Труда, Дом 44
Чечура Роман"
МЧС Печора,,1,МЧС Печора
МЧС Саратов,,1,МЧС Саратов
МЧС Ямал,,1,МЧС Ямал
Мыреева Наталья Леонидовна,,1,"ИП Мыреева Наталья Леонидовна
ИНН 244305613049
ОГРН ИП 310244324600016
Свидетельство 24 005668175
Прыткина Анна Николаевна"
Набиев Рашад Камалович (Физ. лицо),,1,"Набиев Рашад Камалович
Документ 4222348912
+79997878018
Липецкая область с. М-Хомутец ул. Ленина д. 1
Бикинеев Борис"
Надеждина Олеся Игоревна ИП,,,"ИП Надеждина Олеся Игоревна
ИНН 246522975480
ОГРН ИП 319246800095904
olesya-ekzotika@mail.ru
89504077259
город Красноярск , партизана железняка д 48б кв 26
Прыткина Анна Николаевна"
НАДЕЖНЫЙ ПАРТНЕР ООО,Полежаев Сергей Александрович,1,"ООО ""НАДЕЖНЫЙ ПАРТНЕР""
ИНН 2464124715
КПП 246401001
ОГРН 1162468051470
660052, Красноярский край, Красноярск г, Алеши Тимошенкова ул, дом № 82, строение 2, квартира 217


Полежаев Сергей Александрович


Полежаев Сергей Александрович
Кладовщик"
Назаров Максим Леонидович,,1,"ИП Назаров Максим Леонидович
ИНН 190308646421
ОГРН ИП 318190100018150
krasmet124@gmail.com
8 (983) 261 26 76
655162, Хакасия Респ, г Черногорск, ул Богдана Хмельницкого, д. 14, кв. 3
Сезнева Ирина"
НАМИ ФГУП,Гайсин Сергей Владимирович,1,"ФГУП ""НАМИ""
ИНН 7711000924
КПП 774301001
ОГРН 1027739228406
125438, Москва г, ул. Автомоторная, дом 2
125438, Москва г, ул. Автомоторная, дом 2


Гайсин Сергей Владимирович
Клешнина Ольга Васильевна"
"НАО ""Первое коллекторское бюро""",,1,
НАРАН ООО,Хамаганов Станислав Сергеевич,,"ООО ""НАРАН""
ИНН 1414014137
КПП 772401001
ОГРН 1091414000260
115211, Город Москва, ул Борисовские Пруды, д. 5, к. 1, помещ. XIV
115211, город Москва, ул. Борисовские Пруды, дом 5, корпус 1, помещение XIV
115211, город Москва, ул. Борисовские Пруды, дом 5, корпус 1, помещение XIV
Хамаганов Станислав Сергеевич
Ерохин Андрей Сергеевич"
НАРОДНЫЕ ЖАЛЮЗИ ООО,Михайлов Виталий Владимирович,1,"ООО ""НАРОДНЫЕ ЖАЛЮЗИ""
ИНН 2462223358
КПП 246201001
ОГРН 1122468056402
660124, Красноярский край, Красноярск г, Борисевича ул, дом 11, офис 45
660124, Красноярский край, Красноярск г, Борисевича ул, дом 11, офис 45
Михайлов Виталий Владимирович
Сезнева Ирина"
Наръян Мар,,1,"Наръян Мар
8-911-570-76-98"
Наседкин Андрей Николаевич ИП,,1,"Индивидуальный предприниматель Наседкин Андрей Николаевич
ИНН 2461001017
г. Красноярск, ул. Павлова 51-75
г. Красноярск, ул. Павлова 51-75"
Наседкин Глеб Николаевич,,1,"Индивидуальный предприниматель Наседкин Глеб Николаевич
ИНН 2461027897
г. Красноярск, ул. Павлова 51-75
660094 г. Красноярск, ул. Павлова 51-75"
Науменко Иван Владимирович,,1,"ИП Науменко Иван Владимирович
ИНН 253402844007
ОГРН ИП 314250120600011
Свидетельство 25 003749760
Администратор"
НАЦИОНАЛЬНЫЙ ПАРК ЧИКОЙ ФГБУ,Исаев Владимир Илларионович,1,"ФГБУ ""НАЦИОНАЛЬНЫЙ ПАРК ""ЧИКОЙ""
ИНН 7509005124
КПП 750901001
ОГРН 1157538000091
673060, Забайкальский край, р-н Красночикойский, с Красный Чикой, ул. Первомайская, дом 1, строение 1
673060, Забайкальский край, р-н Красночикойский, с Красный Чикой, ул. Первомайская, дом 1, строение 1
Исаев Владимир Илларионович
Андреев Семен Владимирович"
НВС ООО,Людиновсков Даниил Андреевич,1,"ООО ""НВС""
ИНН 7453328138
КПП 745301001
ОГРН 1197456019705
sale@navsl.ru 
8 (800) 551-39-69
454080, Челябинская обл, г. Челябинск, ул. Энтузиастов, дом 12, офис 710
454080, Челябинская обл, г. Челябинск, ул. Энтузиастов, дом 12, офис 710
Людиновсков Даниил Андреевич
Прыткина Анна Николаевна"
НГ-СЕРВИС-74 ООО,Михайлова Елена Валерьевна,,"ООО ""НГ-СЕРВИС-74""
ИНН 7451402812
КПП 745101001
ОГРН 1167456052004
ar44@ng-servis.ru
(351) 211-21-60 (доб.2424)
454053, Челябинская область, г. Челябинск, тракт Троицкий, дом 11А, НЕЖ. ПОМ 16
454053, Челябинская область, г. Челябинск, тракт Троицкий, дом 11А, НЕЖ. ПОМ 16
Михайлова Елена Валерьевна
Володько Антон"
НГТ ООО,Елатомцев Антон Сергеевич,,"ООО ""НГТ""
ИНН 6311138490
КПП 633001001
ОГРН 1126311006690
ngt@ngtsam.ru
443532, Самарская область, р-н Волжский, п. Верхняя Подстепновка, ул. Специалистов, дом 29А
88462010300
443532, Самарская область, р-н Волжский, п. Верхняя Подстепновка, ул. Специалистов, дом 29А
443532, Самарская область, р-н Волжский, п. Верхняя Подстепновка, ул. Специалистов, дом 29А
Елатомцев Антон Сергеевич
Ермаков Владислав"
"НЕ ИСП КРАСНОЯРСКИЙ ФИЛИАЛ №2 ФИЛИАЛ ""С.В.Т.С. СЕРВИС ГРУПП"" НЕ ИСП ООО",,1,"НЕ ИСП КРАСНОЯРСКИЙ ФИЛИАЛ №2 ФИЛИАЛ ООО ""С.В.Т.С. СЕРВИС ГРУПП"" НЕ ИСП
ИНН 5017122969
КПП 246543001"
НЕВА ТДМ ООО,,1,"ООО ""ТДМ НЕВА""
ИНН 7816335621
tdm-neva@bk.ru 188644, Ленинградская область г. Всеволожск, ул. Ленинградская, д. 16, кор.3, кв. 58
812-244-72-72
192007, г. Санкт-Петербург, ул. Курская, д.27, литер Ж, пом.02Н, комната 03
192007, г. Санкт-Петербург, ул. Курская, д.27, литер Ж, пом.02Н, комната 03"
НЕВАСТАНКОМАШ ООО,Анисимов Максим Вячеславович,1,"ООО ""НЕВАСТАНКОМАШ""
ИНН 7810574180
КПП 782001001
ОГРН 1099847032944
196608, Санкт-Петербург г, Пушкин г, Подбельского ш, дом 9, литер А, офис Помещение 1-Н Комната 201, 202 (281)
196608, Санкт-Петербург г, Пушкин г, Подбельского ш, дом 9, литер А, офис Помещение 1-Н Комната 201, 202 (281)
Анисимов Максим Вячеславович
Сезнева Ирина"
НЕВАТОМ СИБИРЬ ООО,Павленко Егор Александрович,1,"ООО ""НЕВАТОМ СИБИРЬ""
ИНН 7017492226
КПП 701701001
ОГРН 1227000003295
zakaz@nevatom.ru
8(383)210-55-83 доб.7054
634028, Томская область, г Томск, ул Тимакова, дом 21А, строение 1, помещение 2
634028, Томская область, г Томск, ул Тимакова, дом 21А, строение 1, помещение 2
Павленко Егор Александрович
Прыткина Анна Николаевна"
НЕДРА ООО ГПК,Павлов Владимир Лукич,,"ООО ГПК ""НЕДРА""
ИНН 3851016846
КПП 385101001
ОГРН 1163850052629
usolnedrabuh@mail.ru
665453, Иркутская область, г. Усолье-Сибирское, ул. Крупской, дом 64
+7 (39543) 67333
665453, Иркутская область, г. Усолье-Сибирское, ул. Крупской, дом 64
665453, Иркутская область, г. Усолье-Сибирское, ул. Крупской, дом 64


Павлов Владимир Лукич
Сезнева Ирина"
НЕКСТ ООО,Яшанин Сергей Викторович,1,"ООО ""НЕКСТ""
ИНН 7325167044
КПП 732501001
ОГРН 1197325013929
432063, Ульяновская обл, Ульяновск г, Ленина ул, дом 9/117, офис 14
432063, Ульяновская обл, Ульяновск г, Ленина ул, дом 9/117, офис 14


Яшанин Сергей Викторович
Сезнева Ирина"
Немцев Макар Владимирович,,1,"ИП Немцев Макар Владимирович
ИНН 251701050665
ОГРН ИП 314250603800045
Свидетельство 25 003710674
Сезнева Ирина"
НЕОТЕК ООО,Погорельский Борис Эмануилович,,"ООО ""НЕОТЕК""
ИНН 7731298410
КПП 773101001
ОГРН 5157746076220
121354, город Москва, ул. Дорогобужская, дом 14, строение 6, этаж 1, помещение 5
(495) 363-45-03
121354, город Москва, ул. Дорогобужская, дом 14, строение 6, этаж 1, помещение 5
121354, город Москва, ул. Дорогобужская, дом 14, строение 6, этаж 1, помещение 5


Погорельский Борис Эмануилович
Дубинина Светлана Валерьевна"
Нестеренко Максим Валентинович ИП,,,"ИП Нестеренко Максим Валентинович
ИНН 420537560226
ОГРН ИП 321420500105067
9233739090@kcsib.ru
+7 923 373-90-90
Красноярск Свободный проспект, 57
650003, Кемеровская область - Кузбасс, г Кемерово, пр-кт Восточный, д. 29
Володько Антон"
Нестеров Андрей Витальевич,,1,"Нестеров Андрей Витальевич
Паспорт: 0414 668443, Выдан: Отделом УФМС России по Красноярскому краю в Октябрьском районе г. КрасноярскаДата выдачи: 19.08.2014 Код подразделения: 240-006 Дата рождения: 03.08.1969 Место жительства: г. Красноярск, ул. Курчатова, д. 9Б, кв.91"
Неустроев Иван Андреевич ИП,,1,"ИП Неустроев Иван Андреевич
ИНН 450300872686
ОГРН ИП 317745600135829
Челябинская обл, г.о. Копейский, Славы пр-кт, д. 32, кв. 104
Челябинская обл, г.о. Копейский, Славы пр-кт, д. 32, кв. 104
Челябинская обл, г.о. Копейский, Славы пр-кт, д. 32, кв. 104
Сезнева Ирина"
Нефедкина Наталья Дмитриевна,,1,"ИП Нефедкина Наталья Дмитриевна
ИНН 770102376486
ОГРН ИП 319774600269012
info@kresla-shop.ru
109444, г.Москва г Внутригородская территория муниципальный округ Выхино-Жулебино, Фeрганская, д. 18, к. 1, кв. 137
8 (495) 142-60-74
109444, г.Москва г Внутригородская территория муниципальный округ Выхино-Жулебино, Фeрганская, д. 18, к. 1, кв. 137
109444, г.Москва г Внутригородская территория муниципальный округ Выхино-Жулебино, Фeрганская, д. 18, к. 1, кв. 137
Клешнина Ольга Васильевна"
НИЗКОВОЛЬТНЫЕ РЕШЕНИЯ ООО,Кондратьев Евгений Вячеславович,1,"ООО ""НИЗКОВОЛЬТНЫЕ РЕШЕНИЯ""
ИНН 4029060031
КПП 402901001
ОГРН 1194027001167
nvr.ooo@inbox.ru
248009, Калужская обл, Калуга г, Новаторская ул, дом 4/22, помещение 100
248009, Калужская обл, Калуга г, Новаторская ул, дом 4/22, помещение 100


Кондратьев Евгений Вячеславович
Сезнева Ирина"
НИКА ООО (ИНН 2463222325),Сычева Анна Александровна,1,"ООО ""НИКА""
ИНН 2463222325
КПП 246301001
ОГРН 1102468037385
perekat24@yandex.ru
+7 (391) 986-77-24
660130, Красноярский край, г. Красноярск, ул. Сады, дом 2, корпус ""А"", квартира 82
660130, Красноярский край, г. Красноярск, ул. Сады, дом 2, корпус ""А"", квартира 82
Сычева Анна Александровна
Панова Елена Владимировна"
НИКА ООО (ИНН 5410084282),Бутовченко Елена Александровна,1,"ООО ""НИКА""
ИНН 5410084282
КПП 541001001
ОГРН 1205400028448
artefakt-nsk@mail.ru
(383) 354-98-43
630027, Новосибирская обл, Новосибирск г, Пятницкого ул, дом 9, квартира 10
630027, Новосибирская обл, Новосибирск г, Пятницкого ул, дом 9, квартира 10
Бутовченко Елена Александровна
Яковлева Екатерина Ивановна"
НИКА ООО Новосибирск,,1,"ООО ""Ника""
ИНН 5404026645
3813366@mail.ru
8 (383) 381-33-66
630096, Новосибирск г, Станционная ул, дом №46Б, офис 12
630096, Новосибирск г, Станционная ул, дом №46Б, офис 12"
Никита,Никита,1,"Никита
+79501322002
Администратор"
Никита Владимирович.В,,1,"Никита Владимирович.В
+7 906 976-55-73
Епищенко Анатолий"
Никитин Игорь Владимирович,,1,"ИП Никитин Игорь Владимирович
ИНН 246300046600
ОГРН ИП 304241107600040
Свидетельство 24 004986394"
НИКИТИНА МАРИНА ПАВЛОВНА ИП,,1,"ИП НИКИТИНА МАРИНА ПАВЛОВНА
ИНН 246310831504"
Никифоров А.Е.,,1,Никифоров Андрей Евгеньевич
Никифоров Евгений Иванович,,1,"ИП Глава крестьянского (фермерского) хозяйства Никифоров Евгений Иванович
ИНН 143102876859
ОГРН ИП 315144700024484
Свидетельство 14 002188709
678012, Республика Саха (Якутия), Хангаласский улус, с. Ой, ул. Хангаласская, 37 
678012, Республика Саха (Якутия), Хангаласский улус, с. Ой, ул. Хангаласская, 37 
Ощепков Андрей Сергеевич"
Никогосян Левон Исмаилович ИП,,1,"ИП Никогосян Левон Исмаилович
ИНН 502480891190
ОГРН ИП 315502400008825
Свидетельство 50 014269946
optimum3213@yandex.ru
+7 495 740-95-67
Московская область, г.о. Красногорск, г Красногорск
Прыткина Анна Николаевна"
Николаев Александр Иванович ИП,,1,"ИП Николаев Александр Иванович
ИНН 143380030838
ОГРН ИП 304140527200023
+7 924 173-92-59
678440, Саха /Якутия/ Респ, у Анабарский, с Саскылах, ул Нагорная, д. 11
678440, Саха /Якутия/ Респ, у Анабарский, с Саскылах, ул Нагорная, д. 11
Дубенкова Анна Алексеевна"
Николаев Алексей Валерьевич ИП,,1,"ИП Николаев Алексей Валерьевич
ИНН 420540311244
ОГРН ИП 319420500086048
+7 951 594-09-99
г. Кемерово, ул. Тухачевского, 47
Калинин Дмитрий Владимирович"
Николаев Николай Борисович,,1,"Николаев Николай Борисович
+7 (924) 4671000
Жилкин Евгений"
Николай,,1,
НИКОЛАЙ ВИКТОРОВИЧ АЗАРОВ,,1,НИКОЛАЙ ВИКТОРОВИЧ АЗАРОВ
Николай Матвиенко,,1,
Никоноров Павел Павлович,,1,"ИП Никоноров Павел Павлович
ИНН 543305990854
ОГРН ИП 314547623700224
Свидетельство 54 004902016
Администратор"
НИКСИ ПЛАСТ ООО,Храмцов Илья Андреевич,,"ООО ""НИКСИ ПЛАСТ""
ИНН 6671449050
КПП 667001001
ОГРН 1146671009990
ОКПО 35165909
Свердловская обл., г. Екатеринбург, ул. Конструкторов, стр. 5 пом. 134
89220125030
Свердловская обл., г. Екатеринбург, ул. Конструкторов, стр. 5 пом. 134
Свердловская обл., г. Екатеринбург, ул. Конструкторов, стр. 5 пом. 134
Храмцов Илья Андреевич
Котляров Станислав"
НИКСОФТ ООО,,,"ООО ""НИКСОФТ""
ИНН 2466217299
КПП 246601001
ОГРН 1092468002846
660049, Красноярский край, Красноярск г, Лебедевой ул, дом № 18
660049, Красноярский край, Красноярск г, Лебедевой ул, дом № 18"
Никулина Елена Владимировна ИП,,1,"ИП Никулина Елена Владимировна
ИНН 381016518381
ОГРН ИП 318385000020100
404374@mail.ru
(3952) 404374
Дубинина Светлана Валерьевна"
Нити Енисея ООО,,1,"ООО Нити Енисея
ИНН 246401001
Поздняков Евгений"
Нищик Сергей Владимирович,,1,"Нищик Сергей Владимирович
Документ 1019653366
89146039637
Амурская обл, г.Свободный, ул.Зейская д.57 кв.5
Молчанов Семен Сергеевич (НЕ ИСПОЛЬЗОВАТЬ)"
Нищик Сергей Владимирович НЕ ИСПОЛЬЗОВАТЬ,,1,Нищик Сергей Владимирович
НЛК ООО,Брюшко Сергей Александрович,,"ООО ""НЛК""
ИНН 8603155418
КПП 860301001
ОГРН 1088603005040
628616, Ханты-Мансийский автономный округ - Югра, г.о. Нижневартовск, г Нижневартовск, пр-кт Победы, здание 18А
628616, Ханты-Мансийский автономный округ - Югра, г.о. Нижневартовск, г Нижневартовск, пр-кт Победы, здание 18А
Брюшко Сергей Александрович
Молчанов Семен Сергеевич"
НМК ООО,Козловский Антон Игоревич,1,"Общество с ограниченной ответственностью ""НОВЫЕ МАТЕРИАЛЫ И КОНСТРУКЦИИ""
ИНН 7709867004
КПП 770901001
ОГРН 1107746997643
damir@nomacon.ru
8(495) 729-4155
105064, Москва г, Сусальный Ниж. пер, дом 5/2, этаж 2, комн. 12
Козловский Антон Игоревич


Козловский Антон Игоревич


Козловский Антон Игоревич
Администратор"
ННС ООО,Масалев Максим Иванович,,"ООО ""ННС""
ИНН 5262349207
КПП 526201001
ОГРН 1175275042381
zelenskiy@nizhnovsteklo.ru
603105, Нижегородская область, г. Нижний Новгород, ул. Ванеева, дом 127, помещение П7Д
(831 ) 218-02 -21
415-83-55, 41 5-83-56
(831 ) 218-02 -21
415-83-55, 41 5-83-56
(831 ) 218-02 -21
415-83-55, 41 5-83-56
603105, Нижегородская область, г. Нижний Новгород, ул. Ванеева, дом 127, помещение П7Д
603105, Нижегородская область, г. Нижний Новгород, ул. Ванеева, дом 127, помещение П7Д


Масалев Максим Иванович
Прыткина Анна Николаевна"
НОВАЛИНК ООО,Овчинников Вадим Валерьевич,1,"ООО ""НОВАЛИНК""
ИНН 7751014592
КПП 775101001
ОГРН 5157746189300
108813, город Москва, пос. Московский, г. Московский, ул. Хабарова, дом 2, БЛОК 4 ЭТАЖ 10 ОФИС 1005
108813, город Москва, пос. Московский, г. Московский, ул. Хабарова, дом 2, БЛОК 4 ЭТАЖ 10 ОФИС 1005
Овчинников Вадим Валерьевич
Акимов Александр"
НОВАПОРТ ТРЕЙДИНГ ООО,,,"ООО ""НОВАПОРТ ТРЕЙДИНГ""
ИНН 5448950149
КПП 544801001
ОГРН 1155476014715
633104, Новосибирская обл, Обь г, Мозжерина пр-кт, дом № 8А, Кабинет 16
633104, Новосибирская обл, Обь г, Мозжерина пр-кт, дом № 8А, Кабинет 16"
НОВАЯ НЕДЕЛЯ ООО,Вощилко Елена Юрьевна,1,"ООО ""НОВАЯ НЕДЕЛЯ""
ИНН 2466080118
КПП 246301001
ОГРН 1032402945123
660041, Красноярский край, Красноярск г, Свободный пр-кт, дом 60А, офис 301
660041, Красноярский край, Красноярск г, Свободный пр-кт, дом 60А, офис 301


Вощилко Елена Юрьевна
Администратор"
Новая Снежная ООО,,1,"ООО ""Новая Снежная""
ИНН 3810069285
КПП 381001001
89501150881
665913, Иркутская область, Слюдянский район, пос. Новоснежная, ул. Трактовая, д. 1
665913, Иркутская область, Слюдянский район, пос. Новоснежная, ул. Трактовая, д. 1"
НОВАЯ ЭРА ООО,Галко Олег Владимирович,,"ООО ""НОВАЯ ЭРА""
ИНН 9724018560
КПП 772401001
ОГРН 1207700278389
115230, Город Москва, вн.тер. г. Муниципальный Округ Нагатино-Садовники, проезд Хлебозаводский, дом 7, строение 9, э 5 ПОМ XII К 8 ОФ 36
115230, Город Москва, вн.тер. г. Муниципальный Округ Нагатино-Садовники, проезд Хлебозаводский, дом 7, строение 9, э 5 ПОМ XII К 8 ОФ 36


Галко Олег Владимирович
Клешнина Ольга Васильевна"
Новиков Дмитрий Алексеевич ИП,,1,"ИП Новиков Дмитрий Алексеевич
ИНН 332708151047
ОГРН ИП 306332725500014
Свидетельство 33 001353429
info@tuning-hall.com
8-900-476-22-22
600015, Владимирская обл., г. Владимир пр-т Ленина д. 35-А кв. 14
Панова Елена Владимировна"
Новиков Иван Семёнович ИП,,1,"ИП Новиков Иван Семёнович
ИНН 503802270924
ОГРН ИП 307503834100018
Свидетельство 50 011720674"
